LoanYear,LoanMonth,Duration,StatusID,LoanCount,MaxAmount,MinAmount,TotalAmount,AverageAmount
1993,7,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,8,36,A,1,105804.0,105804.0,105804.0,105804.0
1993,9,12,A,1,52788.0,52788.0,52788.0,52788.0
1993,9,24,A,1,87840.0,87840.0,87840.0,87840.0
1993,9,24,B,1,174744.0,174744.0,174744.0,174744.0
1993,9,60,A,1,274740.0,274740.0,274740.0,274740.0
1993,10,48,A,1,154416.0,154416.0,154416.0,154416.0
1993,11,24,A,2,117024.0,79608.0,196632.0,98316.0
1993,11,36,A,1,21924.0,21924.0,21924.0,21924.0
1993,12,12,A,3,86616.0,38148.0,171780.0,57260.0
1993,12,24,B,1,75624.0,75624.0,75624.0,75624.0
1993,12,36,A,2,95400.0,93888.0,189288.0,94644.0
1993,12,60,A,1,259740.0,259740.0,259740.0,259740.0
1993,12,60,B,1,464520.0,464520.0,464520.0,464520.0
1994,1,12,A,1,24516.0,24516.0,24516.0,24516.0
1994,1,24,A,3,80952.0,21072.0,182976.0,60992.0
1994,1,36,A,1,108144.0,108144.0,108144.0,108144.0
1994,1,60,C,1,253200.0,253200.0,253200.0,253200.0
1994,2,12,A,1,78936.0,78936.0,78936.0,78936.0
1994,2,12,B,1,49320.0,49320.0,49320.0,49320.0
1994,2,36,A,1,197748.0,197748.0,197748.0,197748.0
1994,2,48,A,1,149040.0,149040.0,149040.0,149040.0
1994,2,60,C,1,300660.0,300660.0,300660.0,300660.0
1994,3,12,A,1,91632.0,91632.0,91632.0,91632.0
1994,3,24,A,4,91200.0,7656.0,205920.0,51480.0
1994,3,36,A,2,212400.0,182628.0,395028.0,197514.0
1994,4,12,A,1,65184.0,65184.0,65184.0,65184.0
1994,4,60,C,2,167100.0,149340.0,316440.0,158220.0
1994,5,12,A,4,104808.0,24312.0,307092.0,76773.0
1994,5,12,B,1,76908.0,76908.0,76908.0,76908.0
1994,5,24,A,1,25944.0,25944.0,25944.0,25944.0
1994,5,36,A,1,193968.0,193968.0,193968.0,193968.0
1994,5,36,B,1,215388.0,215388.0,215388.0,215388.0
1994,5,48,A,2,196080.0,63312.0,259392.0,129696.0
1994,5,60,C,2,272520.0,89040.0,361560.0,180780.0
1994,6,12,A,1,77640.0,77640.0,77640.0,77640.0
1994,6,24,A,4,151560.0,52128.0,382632.0,95658.0
1994,6,24,B,1,174744.0,174744.0,174744.0,174744.0
1994,6,36,A,1,300204.0,300204.0,300204.0,300204.0
1994,6,48,A,2,208320.0,69360.0,277680.0,138840.0
1994,6,48,B,1,87216.0,87216.0,87216.0,87216.0
1994,6,60,C,3,288360.0,239460.0,772380.0,257460.0
1994,7,12,A,2,39576.0,4980.0,44556.0,22278.0
1994,7,24,A,3,173808.0,111384.0,429096.0,143032.0
1994,7,36,A,2,131292.0,74736.0,206028.0,103014.0
1994,7,36,B,2,299088.0,276660.0,575748.0,287874.0
1994,7,48,B,1,208128.0,208128.0,208128.0,208128.0
1994,7,60,C,1,50460.0,50460.0,50460.0,50460.0
1994,7,60,D,1,252060.0,252060.0,252060.0,252060.0
1994,8,12,A,3,74688.0,14628.0,135084.0,45028.0
1994,8,24,A,2,121896.0,79632.0,201528.0,100764.0
1994,8,36,A,2,224604.0,120888.0,345492.0,172746.0
1994,8,48,A,2,323472.0,172080.0,495552.0,247776.0
1994,8,60,C,1,189300.0,189300.0,189300.0,189300.0
1994,9,12,A,6,87816.0,23052.0,330756.0,55126.0
1994,9,24,A,1,141240.0,141240.0,141240.0,141240.0
1994,9,24,B,1,189696.0,189696.0,189696.0,189696.0
1994,9,36,B,1,230220.0,230220.0,230220.0,230220.0
1994,9,48,A,1,209184.0,209184.0,209184.0,209184.0
1994,10,12,A,1,17508.0,17508.0,17508.0,17508.0
1994,10,24,A,3,170256.0,11736.0,280176.0,93392.0
1994,10,36,A,2,227880.0,192744.0,420624.0,210312.0
1994,11,12,A,1,83016.0,83016.0,83016.0,83016.0
1994,11,24,A,1,59760.0,59760.0,59760.0,59760.0
1994,11,24,B,1,192552.0,192552.0,192552.0,192552.0
1994,11,36,A,2,140400.0,48672.0,189072.0,94536.0
1994,11,36,B,1,164052.0,164052.0,164052.0,164052.0
1994,11,48,A,2,123696.0,61056.0,184752.0,92376.0
1994,12,12,A,2,36684.0,31248.0,67932.0,33966.0
1994,12,24,A,1,51408.0,51408.0,51408.0,51408.0
1994,12,36,A,2,205200.0,115992.0,321192.0,160596.0
1994,12,60,C,3,398640.0,100980.0,699300.0,233100.0
1994,12,60,D,1,482940.0,482940.0,482940.0,482940.0
1995,1,12,A,3,95808.0,68112.0,240300.0,80100.0
1995,1,24,A,2,76416.0,48624.0,125040.0,62520.0
1995,1,36,A,1,288468.0,288468.0,288468.0,288468.0
1995,1,36,B,1,270648.0,270648.0,270648.0,270648.0
1995,1,48,C,1,347952.0,347952.0,347952.0,347952.0
1995,1,48,D,1,177744.0,177744.0,177744.0,177744.0
1995,1,60,D,1,137880.0,137880.0,137880.0,137880.0
1995,2,12,A,1,43164.0,43164.0,43164.0,43164.0
1995,2,24,A,1,97224.0,97224.0,97224.0,97224.0
1995,2,48,C,2,221280.0,20832.0,242112.0,121056.0
1995,2,48,D,1,151728.0,151728.0,151728.0,151728.0
1995,2,60,C,2,538500.0,79920.0,618420.0,309210.0
1995,2,60,D,1,316140.0,316140.0,316140.0,316140.0
1995,3,12,A,1,15420.0,15420.0,15420.0,15420.0
1995,3,24,A,4,134784.0,28248.0,271440.0,67860.0
