Year,Month,DistrictID,MinAmount,MaxAmount,TotalAmount,AvgAmount,NumTransactions
1993,1,1,15.9,6446.0,20099.9,1435.707142,14
1993,1,10,28.2,10737.0,11665.2,3888.4,3
1993,1,12,17.0,19961.0,22078.0,5519.5,4
1993,1,13,1100.0,1100.0,1100.0,1100.0,1
1993,1,14,800.0,800.0,800.0,800.0,1
1993,1,15,1000.0,1000.0,2000.0,1000.0,2
1993,1,16,94.7,49752.0,128853.7,18407.671428,7
1993,1,19,19.4,6434.0,7253.4,2417.8,3
1993,1,21,45.0,13851.0,14596.0,4865.333333,3
1993,1,23,200.0,200.0,200.0,200.0,1
1993,1,24,47.5,14264.0,15411.5,5137.166666,3
1993,1,25,300.0,300.0,300.0,300.0,1
1993,1,26,300.0,900.0,1200.0,600.0,2
1993,1,27,200.0,600.0,800.0,400.0,2
1993,1,3,62.4,36518.0,53805.4,13451.35,4
1993,1,30,900.0,900.0,900.0,900.0,1
1993,1,32,200.0,300.0,500.0,250.0,2
1993,1,33,200.0,200.0,200.0,200.0,1
1993,1,36,23.1,6774.0,7197.1,2399.033333,3
1993,1,37,14.0,4507.0,6021.0,1505.25,4
1993,1,38,400.0,400.0,800.0,400.0,2
1993,1,4,500.0,500.0,500.0,500.0,1
1993,1,40,300.0,400.0,700.0,350.0,2
1993,1,41,13.3,23323.0,47050.0,4277.272727,11
1993,1,44,12.6,44749.0,62028.0,6202.8,10
1993,1,45,500.0,500.0,500.0,500.0,1
1993,1,46,700.0,700.0,700.0,700.0,1
1993,1,47,15.2,3401.0,5216.2,1304.05,4
1993,1,48,38.2,13967.0,15805.2,3951.3,4
1993,1,49,700.0,700.0,700.0,700.0,1
1993,1,50,600.0,600.0,600.0,600.0,1
1993,1,52,1100.0,1100.0,1100.0,1100.0,1
1993,1,53,800.0,800.0,800.0,800.0,1
1993,1,54,19.5,6007.0,8426.5,1404.416666,6
1993,1,55,20.1,17477.0,29954.2,3328.244444,9
1993,1,59,200.0,200.0,200.0,200.0,1
1993,1,6,38.9,13156.0,25830.9,6457.725,4
1993,1,60,13.4,4276.0,5389.4,1347.35,4
1993,1,61,1000.0,1000.0,1000.0,1000.0,1
1993,1,62,21.5,5123.0,5944.5,1981.5,3
1993,1,63,200.0,200.0,200.0,200.0,1
1993,1,64,500.0,500.0,500.0,500.0,1
1993,1,66,300.0,700.0,1000.0,500.0,2
1993,1,68,0.8,46552.0,53341.9,7620.271428,7
1993,1,7,7.1,16983.0,17590.1,5863.366666,3
1993,1,70,11.1,6959.0,12971.5,1621.4375,8
1993,1,72,300.0,300.0,300.0,300.0,1
1993,1,73,200.0,200.0,200.0,200.0,1
1993,1,74,15.5,38000.0,76159.0,6346.583333,12
1993,1,75,500.0,500.0,500.0,500.0,1
1993,1,76,38.8,11832.0,12070.8,4023.6,3
1993,1,77,19.1,5298.0,5917.1,1479.275,4
1993,1,9,37.1,12644.0,13181.1,4393.7,3
1993,2,1,9.8,48098.0,274491.8,5382.192156,51
1993,2,10,84.8,10737.0,18621.8,3103.633333,6
1993,2,12,6.7,44455.0,95785.7,13683.671428,7
1993,2,13,10.8,24381.0,26491.8,6622.95,4
1993,2,14,23.0,7041.0,10955.0,2738.75,4
1993,2,15,43.9,9800.0,20559.9,5139.975,4
1993,2,16,14.6,33900.0,187751.6,11734.475,16
1993,2,17,12.6,4391.0,5903.6,1475.9,4
1993,2,19,30.1,6434.0,6464.1,3232.05,2
1993,2,2,300.0,500.0,800.0,400.0,2
1993,2,21,110.6,13851.0,18061.6,3612.32,5
1993,2,23,21.1,20281.0,24202.1,6050.525,4
1993,2,24,121.8,14264.0,20685.8,4137.16,5
1993,2,25,19.3,12043.0,18262.3,6087.433333,3
1993,2,26,3021.0,4356.0,7377.0,3688.5,2
