ClientID,AccountID,TotalTransactionAmount
255,212,7619102.4
4251,3521,7401229.2
4252,3521,7401229.2
3335,2762,7399357.6
1359,1132,7386440.3
1360,1132,7386440.3
3430,2838,7365804.7
548,456,7338613.4
2688,2219,7333024.6
1239,1032,7327494.1
6317,5228,7117524.8
6318,5228,7117524.8
12102,9833,7037938.1
4428,3674,6941710.4
6191,5129,6939091.1
6367,5270,6937453.1
4429,3675,6936835.1
4430,3675,6936835.1
3001,2486,6910402.4
5200,4318,6872363.4
5201,4318,6872363.4
1039,862,6774346.9
3522,2915,6769370.2
114,96,6749839.0
115,96,6749839.0
1556,1286,6610663.1
2715,2242,6546128.8
11331,9203,6516182.3
5204,4321,6513937.4
3667,3035,6421043.8
3668,3035,6421043.8
2762,2282,6391715.5
13539,11013,6376283.8
4293,3558,6358102.7
4294,3558,6358102.7
9593,7753,6346623.2
8091,6701,6336079.0
10636,8625,6332027.3
5445,4514,6329873.2
8598,7123,6326820.5
2058,1695,6288972.0
13451,10942,6275675.7
3336,2763,6273891.4
3944,3260,6270956.8
3945,3260,6270956.8
13490,10973,6246852.0
3548,2938,6226227.3
2626,2170,6188135.5
2197,1813,6083680.0
3687,3050,6079276.8
3688,3050,6079276.8
10198,8260,6075871.0
10199,8260,6075871.0
321,266,6031363.8
1946,1605,6027802.8
2922,2419,6025956.8
3498,2894,6009278.5
1762,1453,5975499.6
1246,1039,5955593.5
1247,1039,5955593.5
4565,3786,5923504.0
2808,2321,5911059.8
12432,10105,5903640.0
1040,863,5897550.7
77,66,5879317.1
531,441,5860452.4
532,441,5860452.4
10145,8212,5858456.7
39,31,5807677.5
3405,2818,5780995.4
3406,2818,5780995.4
7521,6226,5779370.5
689,574,5774233.5
10095,8173,5747542.2
10096,8173,5747542.2
876,730,5678818.7
1018,844,5667814.4
13113,10663,5658114.7
5722,4743,5652045.4
8726,7231,5649362.2
750,624,5643693.9
3049,2527,5627031.7
3050,2527,5627031.7
4477,3713,5621797.0
4478,3713,5621797.0
4238,3510,5619323.4
3211,2660,5616257.0
3519,2912,5610280.7
3540,2932,5608772.8
3541,2932,5608772.8
9933,8041,5601309.3
11886,9656,5595682.4
11409,9265,5590851.2
10510,8519,5581760.8
10511,8519,5581760.8
4663,3869,5576966.9
13657,11111,5552105.3
13658,11111,5552105.3
2566,2122,5550771.8
980,816,5550743.7
583,485,5547435.1
13123,10670,5504312.7
7815,6473,5475280.6
9915,8027,5473619.0
2698,2227,5462143.7
2699,2227,5462143.7
6731,5574,5459717.8
11794,9583,5439566.5
11795,9583,5439566.5
4536,3760,5438918.5
5133,4259,5438813.6
5392,4470,5409917.3
3197,2651,5405675.9
3198,2651,5405675.9
364,299,5390884.4
2684,2216,5374333.9
13690,11138,5371586.0
9611,7769,5364644.3
9715,7857,5347214.7
1209,1005,5339148.5
12396,10079,5318335.7
12397,10079,5318335.7
2873,2378,5315969.9
10563,8564,5258136.9
10564,8564,5258136.9
5275,4377,5251537.1
3103,2572,5248307.6
4974,4131,5242155.2
4975,4131,5242155.2
6789,5622,5242040.8
9973,8073,5190125.5
626,521,5187497.1
5965,4937,5179029.4
2057,1694,5169792.4
11947,9707,5150639.5
267,222,5135581.3
7127,5891,5134747.6
226,186,5133105.8
5056,4195,5112269.7
2982,2471,5095915.3
2983,2471,5095915.3
13201,10738,5091422.1
5224,4337,5075329.5
3298,2732,5059817.9
13548,11021,5041763.7
289,239,5026138.8
3542,2933,5018901.5
3543,2933,5018901.5
12843,10439,5010866.8
6616,5481,5008621.8
9641,7795,4997272.7
9642,7795,4997272.7
5347,4434,4989705.5
11461,9307,4964542.0
6417,5313,4957008.3
4916,4079,4943003.7
2879,2384,4937619.0
55,47,4933893.4
1831,1511,4931190.6
294,243,4925410.0
7814,6472,4900473.3
7195,5952,4888203.2
2719,2245,4887049.7
839,699,4886608.0
1505,1247,4873625.0
2542,2099,4869950.0
2543,2099,4869950.0
3011,2494,4868985.6
6052,5011,4866812.6
2403,1978,4863125.9
2633,2175,4853315.7
3576,2962,4846354.8
97,82,4840822.3
2148,1772,4837986.3
3763,3112,4823288.0
3764,3112,4823288.0
11943,9703,4804066.9
10040,8127,4798360.8
10041,8127,4798360.8
1619,1338,4791785.7
1620,1338,4791785.7
6485,5372,4790257.4
9226,7445,4787826.4
1080,897,4782138.9
1204,1000,4779742.9
5409,4484,4773864.4
3573,2959,4766297.7
2181,1801,4751818.5
8327,6897,4750518.8
3172,2628,4739570.6
2390,1965,4724353.8
11851,9627,4705145.5
2941,2435,4702010.0
4139,3424,4697002.3
12416,10093,4696528.6
12417,10093,4696528.6
5366,4448,4689696.8
5367,4448,4689696.8
6544,5422,4686627.2
6545,5422,4686627.2
4979,4134,4684578.0
3319,2749,4682157.3
3320,2749,4682157.3
3765,3113,4682039.8
441,363,4666559.4
10963,8899,4663429.4
6551,5428,4661952.6
6478,5366,4657379.6
2431,2001,4647136.6
5128,4255,4608526.5
12095,9828,4607543.0
2216,1828,4602266.4
2217,1828,4602266.4
3178,2633,4591076.8
1492,1237,4565111.4
38,30,4561803.2
3589,2972,4555198.1
3148,2609,4532707.3
3149,2609,4532707.3
471,390,4524435.9
2929,2424,4521182.5
78,67,4518164.0
11093,9006,4509795.1
10269,8316,4508100.4
6803,5632,4506990.8
6804,5632,4506990.8
3382,2799,4503889.4
3383,2799,4503889.4
12163,9883,4488095.8
11662,9472,4485996.6
6178,5120,4469648.8
7291,6034,4468707.4
1427,1184,4467812.0
2975,2464,4419575.2
7100,5868,4414052.3
12625,10266,4400789.2
