Bank,Type,NumTransactions,TotalAmount,AvgAmount,MinAmount,MaxAmount
AB,Deposit,4807,54138718.0,11262.47514,2904.0,72966.0
AB,Withdraw,16913,54216180.8,3205.592195,5.0,14707.0
CD,Deposit,4984,57608541.0,11558.696027,2904.0,74176.0
CD,Withdraw,14613,46529176.9,3184.094771,15.0,13461.0
EF,Deposit,4880,50959607.0,10442.542418,2942.0,73970.0
EF,Withdraw,16413,57432096.6,3499.183366,3.0,14811.0
GH,Deposit,5289,75312051.0,14239.374361,2910.0,74648.0
GH,Withdraw,16210,50644242.3,3124.259241,10.0,14336.0
IJ,Deposit,4913,60906200.0,12396.946875,2901.0,74522.0
IJ,Withdraw,15612,51008281.7,3267.248379,2.0,14723.0
KL,Deposit,4935,55168433.0,11179.013779,2909.0,74770.0
KL,Withdraw,16299,55479364.8,3403.850837,2.0,14581.0
MN,Deposit,5107,50627470.0,9913.348345,2930.0,73448.0
MN,Withdraw,14516,44913761.7,3094.086642,7.0,13088.0
OP,Deposit,5344,62846553.0,11760.20827,2900.0,74529.0
OP,Withdraw,15750,46681942.0,2963.932825,1.0,12006.0
QR,Deposit,4846,61098611.0,12608.050144,2924.0,72766.0
QR,Withdraw,17439,56847636.0,3259.799071,7.0,14520.0
ST,Deposit,5393,72326974.0,13411.269052,2902.0,74642.0
ST,Withdraw,16318,55240414.0,3385.244147,1.0,14882.0
UV,Deposit,5150,68213892.0,13245.415922,2900.0,74628.0
UV,Withdraw,16017,50928055.4,3179.62511,1.0,13628.0
WX,Deposit,4561,49720423.0,10901.210918,2900.0,74812.0
WX,Withdraw,15617,52130963.4,3338.09076,2.0,14584.0
YZ,Deposit,5017,62552480.0,12468.104444,2904.0,73224.0
YZ,Withdraw,16565,50581170.7,3053.496571,1.0,14801.0
