Bank,NumTransactions,TotalAmount,AvgAmount,MinAmount,MaxAmount
AB,21720,108354898.8,4988.715414,5.0,72966.0
CD,19597,104137717.9,5313.962234,15.0,74176.0
EF,21293,108391703.6,5090.485305,3.0,73970.0
GH,21499,125956293.3,5858.704744,10.0,74648.0
IJ,20525,111914481.7,5452.593505,2.0,74522.0
KL,21234,110647797.8,5210.878675,2.0,74770.0
MN,19623,95541231.7,4868.839203,7.0,73448.0
OP,21094,109528495.0,5192.400445,1.0,74529.0
QR,22285,117946247.0,5292.629436,7.0,72766.0
ST,21711,127567388.0,5875.703007,1.0,74642.0
UV,21167,119141947.4,5628.66478,1.0,74628.0
WX,20178,101851386.4,5047.645277,2.0,74812.0
YZ,21582,113133650.7,5242.037378,1.0,73224.0
